TIME,SOFT_XRAY,HARD_XRAY
25977,4.0,0.0
25978,4.0,0.0
25979,7.0,0.0
25980,4.0,0.0
25981,6.0,0.0
25982,1.0,0.0
25983,4.0,192.0
25984,3.0,0.0
25985,2.0,0.0
25986,1.0,0.0
25987,4.0,0.0
25988,3.0,0.0
25989,6.0,0.0
25990,4.0,0.0
25991,4.0,229.0
25992,5.0,0.0
25993,2.0,0.0
25994,4.0,0.0
25995,5.0,0.0
25996,3.0,0.0
25997,5.0,0.0
25998,4.0,0.0
25999,2.0,122.0
26000,2.0,0.0
26001,4.0,0.0
26002,2.0,0.0
26003,5.0,0.0
26004,4.0,0.0
26005,2.0,0.0
26006,2.0,0.0
26007,6.0,148.0
26008,2.0,0.0
26009,6.0,0.0
26010,0.0,0.0
26011,3.0,0.0
26012,3.0,0.0
26013,2.0,0.0
26014,2.0,158.0
26015,2.0,0.0
26016,7.0,0.0
26017,1.0,0.0
26018,2.0,0.0
26019,4.0,0.0
26020,3.0,0.0
26021,5.0,0.0
26022,3.0,0.0
26023,3.0,176.0
26024,3.0,0.0
26025,3.0,0.0
26026,3.0,0.0
26027,4.0,0.0
26028,2.0,0.0
26029,5.0,0.0
26030,5.0,0.0
26031,2.0,109.0
26032,2.0,0.0
26033,4.0,0.0
26034,4.0,0.0
26035,3.0,0.0
26036,1.0,0.0
26037,4.0,0.0
26038,2.0,206.0
26039,2.0,0.0
26040,3.0,0.0
26041,2.0,0.0
26042,4.0,0.0
26043,4.0,0.0
26044,3.0,0.0
26045,2.0,0.0
26046,6.0,0.0
26047,6.0,212.0
26048,4.0,0.0
26049,6.0,0.0
26050,1.0,0.0
26051,5.0,0.0
26052,2.0,0.0
26053,3.0,0.0
26054,8.0,234.0
26055,2.0,0.0
26056,4.0,0.0
26057,5.0,0.0
26058,1.0,0.0
26059,4.0,0.0
26060,4.0,0.0
26061,7.0,0.0
26062,6.0,0.0
26063,5.0,195.0
26064,5.0,0.0
26065,2.0,0.0
26066,2.0,0.0
26067,3.0,0.0
26068,3.0,0.0
26069,2.0,0.0
26070,3.0,0.0
26071,3.0,229.0
26072,4.0,0.0
26073,3.0,0.0
26074,9.0,0.0
26075,4.0,0.0
26076,4.0,0.0
26077,5.0,0.0
26078,4.0,124.0
26079,6.0,0.0
26080,3.0,0.0
26081,5.0,0.0
26082,4.0,0.0
26083,1.0,0.0
26084,8.0,0.0
26085,5.0,0.0
26086,1.0,0.0
26087,6.0,166.0
26088,0.0,0.0
26089,3.0,0.0
26090,4.0,0.0
26091,2.0,0.0
26092,5.0,0.0
26093,7.0,0.0
26094,4.0,0.0
26095,7.0,217.0
26096,0.0,0.0
26097,5.0,0.0
26098,2.0,0.0
26099,4.0,0.0
26100,2.0,0.0
26101,2.0,0.0
26102,4.0,184.0
26103,7.0,0.0
26104,1.0,0.0
26105,7.0,0.0
26106,3.0,0.0
26107,6.0,0.0
26108,3.0,0.0
26109,6.0,0.0
26110,5.0,0.0
26111,4.0,195.0
26112,7.0,0.0
26113,6.0,0.0
26114,2.0,0.0
26115,4.0,0.0
26116,1.0,0.0
26117,1.0,0.0
26118,2.0,56.0
26119,0.0,0.0
26120,2.0,99.0
26121,1.0,0.0
26122,2.0,0.0
26123,3.0,0.0
26124,10.0,0.0
26125,6.0,0.0
26126,4.0,121.0
26127,9.0,170.0
26128,2.0,0.0
26129,5.0,0.0
26130,3.0,0.0
26131,2.0,0.0
26132,3.0,0.0
26133,2.0,0.0
26134,5.0,165.0
26135,4.0,0.0
26136,3.0,0.0
26137,5.0,0.0
26138,3.0,0.0
26139,3.0,0.0
26140,1.0,0.0
26141,1.0,0.0
26142,1.0,183.0
26143,5.0,0.0
26144,10.0,0.0
26145,4.0,0.0
26146,3.0,0.0
26147,1.0,0.0
26148,1.0,0.0
26149,5.0,181.0
26150,1.0,0.0
26151,5.0,0.0
26152,2.0,0.0
26153,7.0,0.0
26154,2.0,0.0
26155,5.0,0.0
26156,6.0,0.0
26157,6.0,0.0
26158,5.0,195.0
26159,2.0,0.0
26160,5.0,0.0
26161,7.0,0.0
26162,2.0,0.0
26163,2.0,0.0
26164,5.0,0.0
26165,5.0,0.0
26166,9.0,141.0
26167,8.0,0.0
26168,4.0,0.0
26169,1.0,0.0
26170,7.0,0.0
26171,2.0,0.0
26172,3.0,0.0
26173,3.0,0.0
26174,6.0,157.0
26175,4.0,0.0
26176,6.0,0.0
26177,3.0,0.0
26178,5.0,0.0
26179,1.0,0.0
26180,5.0,0.0
26181,7.0,0.0
26182,3.0,192.0
26183,3.0,0.0
26184,2.0,0.0
26185,3.0,0.0
26186,7.0,0.0
26187,4.0,0.0
26188,6.0,0.0
26189,5.0,0.0
26190,6.0,104.0
26191,3.0,0.0
26192,2.0,0.0
26193,1.0,0.0
26194,2.0,0.0
26195,2.0,0.0
26196,7.0,0.0
26197,3.0,0.0
26198,2.0,171.0
26199,3.0,0.0
26200,4.0,0.0
26201,3.0,0.0
26202,4.0,0.0
26203,3.0,0.0
26204,4.0,0.0
26205,2.0,0.0
26206,6.0,126.0
26207,2.0,0.0
26208,3.0,0.0
26209,3.0,0.0
26210,4.0,0.0
26211,4.0,0.0
26212,5.0,0.0
26213,6.0,169.0
26214,4.0,0.0
26215,3.0,0.0
26216,3.0,0.0
26217,5.0,0.0
26218,1.0,0.0
26219,3.0,0.0
26220,4.0,0.0
26221,3.0,0.0
26222,9.0,157.0
26223,6.0,29.0
26224,4.0,0.0
26225,3.0,0.0
26226,4.0,0.0
26227,4.0,0.0
26228,3.0,0.0
26229,5.0,0.0
26230,3.0,207.0
26231,7.0,59.0
